,Date,3,County,Case Count
0,County Name,Anderson,Anderson,
1,New Probable 2020-11-01,0.0,Anderson,
2,New Probable 2020-11-02,0.0,Anderson,
3,New Probable 2020-11-03,6.0,Anderson,
4,New Probable 2020-11-04,0.0,Anderson,
5,New Probable 2020-11-05,17.0,Anderson,
6,New Probable 2020-11-06,24.0,Anderson,
7,New Probable 2020-11-07,0.0,Anderson,
8,New Probable 2020-11-08,1.0,Anderson,
9,New Probable 2020-11-09,0.0,Anderson,
10,New Probable 2020-11-10,11.0,Anderson,
11,New Probable 2020-11-11,9.0,Anderson,
12,New Probable 2020-11-12,14.0,Anderson,
13,New Probable 2020-11-13,8.0,Anderson,
14,New Probable 2020-11-14,0.0,Anderson,
15,New Probable 2020-11-15,9.0,Anderson,
16,New Probable 2020-11-16,0.0,Anderson,
17,New Probable 2020-11-17,31.0,Anderson,
18,New Probable 2020-11-18,11.0,Anderson,
19,New Probable 2020-11-19,22.0,Anderson,
20,New Probable 2020-11-20,10.0,Anderson,
21,New Probable 2020-11-21,4.0,Anderson,
22,New Probable 2020-11-22,0.0,Anderson,
23,New Probable 2020-11-23,0.0,Anderson,
24,New Probable 2020-11-24,4.0,Anderson,
25,New Probable 2020-11-25,9.0,Anderson,
26,New Probable 2020-11-26,9.0,Anderson,
27,New Probable 2020-11-27,0.0,Anderson,
28,New Probable 2020-11-28,0.0,Anderson,
29,New Probable 2020-11-29,0.0,Anderson,
30,New Probable 2020-11-30,0.0,Anderson,
31,New Probable 2020-12-01,18.0,Anderson,
32,New Probable 2020-12-02,5.0,Anderson,
33,New Probable 2020-12-03,16.0,Anderson,
34,New Probable 2020-12-04,33.0,Anderson,
35,New Probable 2020-12-05,15.0,Anderson,
36,New Probable 2020-12-06,0.0,Anderson,
37,New Probable 2020-12-07,0.0,Anderson,
38,New Probable 2020-12-08,15.0,Anderson,
39,New Probable 2020-12-09,7.0,Anderson,
40,New Probable 2020-12-10,14.0,Anderson,
41,New Probable 2020-12-11,10.0,Anderson,
42,New Probable 2020-12-12,15.0,Anderson,
43,New Probable 2020-12-13,0.0,Anderson,
44,New Probable 2020-12-14,0.0,Anderson,
45,New Probable 2020-12-15,16.0,Anderson,
46,New Probable 2020-12-16,3.0,Anderson,
47,New Probable 2020-12-17,5.0,Anderson,
48,New Probable 2020-12-18,7.0,Anderson,
49,New Probable 2020-12-19,9.0,Anderson,
50,New Probable 2020-12-20,0.0,Anderson,
51,New Probable 2020-12-21,0.0,Anderson,
52,New Probable 2020-12-22,21.0,Anderson,
53,New Probable 2020-12-23,7.0,Anderson,
54,New Probable 2020-12-24,12.0,Anderson,
55,New Probable 2020-12-25,0.0,Anderson,
56,New Probable 2020-12-26,0.0,Anderson,
57,New Probable 2020-12-27,0.0,Anderson,
58,New Probable 2020-12-28,0.0,Anderson,
59,New Probable 2020-12-29,42.0,Anderson,
60,New Probable 2020-12-30,10.0,Anderson,
61,New Probable 2020-12-31,23.0,Anderson,
62,New Probable 2021-01-01,19.0,Anderson,
63,New Probable 2021-01-02,0.0,Anderson,
64,New Probable 2021-01-03,0.0,Anderson,
65,New Probable 2021-01-04,0.0,Anderson,
66,New Probable 2021-01-05,46.0,Anderson,
67,New Probable 2021-01-06,17.0,Anderson,
68,New Probable 2021-01-07,21.0,Anderson,
69,New Probable 2021-01-08,0.0,Anderson,
70,New Probable 2021-01-09,28.0,Anderson,
71,New Probable 2021-01-10,0.0,Anderson,
72,New Probable 2021-01-11,0.0,Anderson,
73,New Probable 2021-01-12,0.0,Anderson,
74,New Probable 2021-01-13,46.0,Anderson,
75,New Probable 2021-01-14,0.0,Anderson,
76,New Probable 2021-01-15,29.0,Anderson,
77,New Probable 2021-01-16,0.0,Anderson,
78,New Probable 2021-01-17,13.0,Anderson,
79,New Probable 2021-01-18,0.0,Anderson,
80,New Probable 2021-01-19,0.0,Anderson,
81,New Probable 2021-01-20,50.0,Anderson,
82,New Probable 2021-01-21,4.0,Anderson,
83,New Probable 2021-01-22,0.0,Anderson,
84,New Probable 2021-01-23,10.0,Anderson,
85,New Probable 2021-01-24,9.0,Anderson,
86,New Probable 2021-01-25,0.0,Anderson,
87,New Probable 2021-01-26,0.0,Anderson,
88,New Probable 2021-01-27,14.0,Anderson,
89,New Probable 2021-01-28,6.0,Anderson,
90,New Probable 2021-01-29,13.0,Anderson,
91,New Probable 2021-01-30,0.0,Anderson,
92,New Probable 2021-01-31,3.0,Anderson,
93,New Probable 2021-02-01,0.0,Anderson,
94,New Probable 2021-02-02,0.0,Anderson,
95,New Probable 2021-02-03,5.0,Anderson,
96,New Probable 2021-02-04,0.0,Anderson,
97,New Probable 2021-02-05,25.0,Anderson,
98,New Probable 2021-02-06,0.0,Anderson,
99,New Probable 2021-02-07,0.0,Anderson,
100,New Probable 2021-02-08,18.0,Anderson,
101,New Probable 2021-02-09,4.0,Anderson,
102,New Probable 2021-02-10,0.0,Anderson,
103,New Probable 2021-02-11,0.0,Anderson,
104,New Probable 2021-02-12,8.0,Anderson,
105,New Probable 2021-02-13,0.0,Anderson,
106,New Probable 2021-02-14,4.0,Anderson,
107,New Probable 2021-02-15,0.0,Anderson,
108,New Probable 2021-02-16,0.0,Anderson,
109,New Probable 2021-02-17,0.0,Anderson,
110,New Probable 2021-02-18,0.0,Anderson,
111,New Probable 2021-02-19,3.0,Anderson,
112,New Probable 2021-02-20,0.0,Anderson,
113,New Probable 2021-02-21,1.0,Anderson,
114,New Probable 2021-02-22,0.0,Anderson,
115,New Probable 2021-02-23,0.0,Anderson,
116,New Probable 2021-02-24,1.0,Anderson,
117,New Probable 2021-02-25,0.0,Anderson,
118,New Probable 2021-02-26,4.0,Anderson,
119,New Probable 2021-02-27,5.0,Anderson,
120,New Probable 2021-02-28,0.0,Anderson,
121,New Probable 2021-03-01,0.0,Anderson,
122,New Probable 2021-03-02,0.0,Anderson,
123,New Probable 2021-03-03,11.0,Anderson,
124,New Probable 2021-03-04,0.0,Anderson,
125,New Probable 2021-03-05,6.0,Anderson,
126,New Probable 2021-03-06,0.0,Anderson,
127,New Probable 2021-03-07,0.0,Anderson,
128,New Probable 2021-03-08,0.0,Anderson,
129,New Probable 2021-03-09,-1.0,Anderson,
130,New Probable 2021-03-10,1.0,Anderson,
131,New Probable 2021-03-11,0.0,Anderson,
132,New Probable 2021-03-12,5.0,Anderson,
133,New Probable 2021-03-13,0.0,Anderson,
134,New Probable 2021-03-14,3.0,Anderson,
135,New Probable 2021-03-15,0.0,Anderson,
136,New Probable 2021-03-16,1.0,Anderson,
137,New Probable 2021-03-17,0.0,Anderson,
138,New Probable 2021-03-18,0.0,Anderson,
139,New Probable 2021-03-19,3.0,Anderson,
140,New Probable 2021-03-20,0.0,Anderson,
141,New Probable 2021-03-21,0.0,Anderson,
142,New Probable 2021-03-22,0.0,Anderson,
143,New Probable 2021-03-23,1.0,Anderson,
144,New Probable 2021-03-24,2.0,Anderson,
145,New Probable 2021-03-25,0.0,Anderson,
146,New Probable 2021-03-26,4.0,Anderson,
147,New Probable 2021-03-27,0.0,Anderson,
148,New Probable 2021-03-28,0.0,Anderson,
149,New Probable 2021-03-29,0.0,Anderson,
150,New Probable 2021-03-30,0.0,Anderson,
151,New Probable 2021-03-31,9.0,Anderson,
152,New Probable 2021-04-01,0.0,Anderson,
153,New Probable 2021-04-02,5.0,Anderson,
154,New Probable 2021-04-03,0.0,Anderson,
155,New Probable 2021-04-04,0.0,Anderson,
156,New Probable 2021-04-05,0.0,Anderson,
157,New Probable 2021-04-06,4.0,Anderson,
158,New Probable 2021-04-07,0.0,Anderson,
159,New Probable 2021-04-08,0.0,Anderson,
160,New Probable 2021-04-09,0.0,Anderson,
161,New Probable 2021-04-10,15.0,Anderson,
162,New Probable 2021-04-11,0.0,Anderson,
163,New Probable 2021-04-12,0.0,Anderson,
164,New Probable 2021-04-13,2.0,Anderson,
165,New Probable 2021-04-14,0.0,Anderson,
166,New Probable 2021-04-15,0.0,Anderson,
167,New Probable 2021-04-16,7.0,Anderson,
168,New Probable 2021-04-17,0.0,Anderson,
169,New Probable 2021-04-18,0.0,Anderson,
170,New Probable 2021-04-19,0.0,Anderson,
171,New Probable 2021-04-20,0.0,Anderson,
172,New Probable 2021-04-21,5.0,Anderson,
173,New Probable 2021-04-22,0.0,Anderson,
174,New Probable 2021-04-23,5.0,Anderson,
175,New Probable 2021-04-24,0.0,Anderson,
176,New Probable 2021-04-25,0.0,Anderson,
177,New Probable 2021-04-26,0.0,Anderson,
178,New Probable 2021-04-27,0.0,Anderson,
179,New Probable 2021-04-28,3.0,Anderson,
180,New Probable 2021-04-29,0.0,Anderson,
181,New Probable 2021-04-30,17.0,Anderson,
182,New Probable 2021-05-01,0.0,Anderson,
183,New Probable 2021-05-02,0.0,Anderson,
184,New Probable 2021-05-03,0.0,Anderson,
185,New Probable 2021-05-04,0.0,Anderson,
0,County Name,,4,Andrews
1,New Probable 2020-11-01,,4,0.0
2,New Probable 2020-11-02,,4,0.0
3,New Probable 2020-11-03,,4,0.0
4,New Probable 2020-11-04,,4,0.0
5,New Probable 2020-11-05,,4,0.0
6,New Probable 2020-11-06,,4,0.0
7,New Probable 2020-11-07,,4,0.0
8,New Probable 2020-11-08,,4,0.0
9,New Probable 2020-11-09,,4,0.0
10,New Probable 2020-11-10,,4,0.0
11,New Probable 2020-11-11,,4,0.0
12,New Probable 2020-11-12,,4,0.0
13,New Probable 2020-11-13,,4,0.0
14,New Probable 2020-11-14,,4,0.0
15,New Probable 2020-11-15,,4,0.0
16,New Probable 2020-11-16,,4,0.0
17,New Probable 2020-11-17,,4,0.0
18,New Probable 2020-11-18,,4,0.0
19,New Probable 2020-11-19,,4,0.0
20,New Probable 2020-11-20,,4,0.0
21,New Probable 2020-11-21,,4,0.0
22,New Probable 2020-11-22,,4,0.0
23,New Probable 2020-11-23,,4,0.0
24,New Probable 2020-11-24,,4,0.0
25,New Probable 2020-11-25,,4,0.0
26,New Probable 2020-11-26,,4,0.0
27,New Probable 2020-11-27,,4,0.0
28,New Probable 2020-11-28,,4,0.0
29,New Probable 2020-11-29,,4,0.0
30,New Probable 2020-11-30,,4,0.0
31,New Probable 2020-12-01,,4,0.0
32,New Probable 2020-12-02,,4,0.0
33,New Probable 2020-12-03,,4,0.0
34,New Probable 2020-12-04,,4,0.0
35,New Probable 2020-12-05,,4,0.0
36,New Probable 2020-12-06,,4,0.0
37,New Probable 2020-12-07,,4,0.0
38,New Probable 2020-12-08,,4,0.0
39,New Probable 2020-12-09,,4,0.0
40,New Probable 2020-12-10,,4,0.0
41,New Probable 2020-12-11,,4,0.0
42,New Probable 2020-12-12,,4,0.0
43,New Probable 2020-12-13,,4,0.0
44,New Probable 2020-12-14,,4,0.0
45,New Probable 2020-12-15,,4,0.0
46,New Probable 2020-12-16,,4,0.0
47,New Probable 2020-12-17,,4,0.0
48,New Probable 2020-12-18,,4,0.0
49,New Probable 2020-12-19,,4,0.0
50,New Probable 2020-12-20,,4,0.0
51,New Probable 2020-12-21,,4,0.0
52,New Probable 2020-12-22,,4,0.0
53,New Probable 2020-12-23,,4,0.0
54,New Probable 2020-12-24,,4,0.0
55,New Probable 2020-12-25,,4,0.0
56,New Probable 2020-12-26,,4,0.0
57,New Probable 2020-12-27,,4,0.0
58,New Probable 2020-12-28,,4,0.0
59,New Probable 2020-12-29,,4,0.0
60,New Probable 2020-12-30,,4,0.0
61,New Probable 2020-12-31,,4,0.0
62,New Probable 2021-01-01,,4,0.0
63,New Probable 2021-01-02,,4,0.0
64,New Probable 2021-01-03,,4,0.0
65,New Probable 2021-01-04,,4,0.0
66,New Probable 2021-01-05,,4,0.0
67,New Probable 2021-01-06,,4,0.0
68,New Probable 2021-01-07,,4,0.0
69,New Probable 2021-01-08,,4,0.0
70,New Probable 2021-01-09,,4,0.0
71,New Probable 2021-01-10,,4,0.0
72,New Probable 2021-01-11,,4,0.0
73,New Probable 2021-01-12,,4,0.0
74,New Probable 2021-01-13,,4,0.0
75,New Probable 2021-01-14,,4,0.0
76,New Probable 2021-01-15,,4,0.0
77,New Probable 2021-01-16,,4,0.0
78,New Probable 2021-01-17,,4,0.0
79,New Probable 2021-01-18,,4,0.0
80,New Probable 2021-01-19,,4,0.0
81,New Probable 2021-01-20,,4,0.0
82,New Probable 2021-01-21,,4,0.0
83,New Probable 2021-01-22,,4,0.0
84,New Probable 2021-01-23,,4,0.0
85,New Probable 2021-01-24,,4,0.0
86,New Probable 2021-01-25,,4,0.0
87,New Probable 2021-01-26,,4,0.0
88,New Probable 2021-01-27,,4,0.0
89,New Probable 2021-01-28,,4,0.0
90,New Probable 2021-01-29,,4,0.0
91,New Probable 2021-01-30,,4,0.0
92,New Probable 2021-01-31,,4,0.0
93,New Probable 2021-02-01,,4,0.0
94,New Probable 2021-02-02,,4,0.0
95,New Probable 2021-02-03,,4,0.0
96,New Probable 2021-02-04,,4,0.0
97,New Probable 2021-02-05,,4,0.0
98,New Probable 2021-02-06,,4,0.0
99,New Probable 2021-02-07,,4,0.0
100,New Probable 2021-02-08,,4,0.0
101,New Probable 2021-02-09,,4,0.0
102,New Probable 2021-02-10,,4,0.0
103,New Probable 2021-02-11,,4,0.0
104,New Probable 2021-02-12,,4,0.0
105,New Probable 2021-02-13,,4,0.0
106,New Probable 2021-02-14,,4,0.0
107,New Probable 2021-02-15,,4,0.0
108,New Probable 2021-02-16,,4,0.0
109,New Probable 2021-02-17,,4,0.0
110,New Probable 2021-02-18,,4,0.0
111,New Probable 2021-02-19,,4,0.0
112,New Probable 2021-02-20,,4,0.0
113,New Probable 2021-02-21,,4,0.0
114,New Probable 2021-02-22,,4,0.0
115,New Probable 2021-02-23,,4,0.0
116,New Probable 2021-02-24,,4,0.0
117,New Probable 2021-02-25,,4,0.0
118,New Probable 2021-02-26,,4,0.0
119,New Probable 2021-02-27,,4,0.0
120,New Probable 2021-02-28,,4,0.0
121,New Probable 2021-03-01,,4,0.0
122,New Probable 2021-03-02,,4,0.0
123,New Probable 2021-03-03,,4,0.0
124,New Probable 2021-03-04,,4,0.0
125,New Probable 2021-03-05,,4,0.0
126,New Probable 2021-03-06,,4,0.0
127,New Probable 2021-03-07,,4,0.0
128,New Probable 2021-03-08,,4,0.0
129,New Probable 2021-03-09,,4,0.0
130,New Probable 2021-03-10,,4,0.0
131,New Probable 2021-03-11,,4,0.0
132,New Probable 2021-03-12,,4,0.0
133,New Probable 2021-03-13,,4,0.0
134,New Probable 2021-03-14,,4,0.0
135,New Probable 2021-03-15,,4,0.0
136,New Probable 2021-03-16,,4,0.0
137,New Probable 2021-03-17,,4,0.0
138,New Probable 2021-03-18,,4,0.0
139,New Probable 2021-03-19,,4,0.0
140,New Probable 2021-03-20,,4,0.0
141,New Probable 2021-03-21,,4,0.0
142,New Probable 2021-03-22,,4,0.0
143,New Probable 2021-03-23,,4,0.0
144,New Probable 2021-03-24,,4,0.0
145,New Probable 2021-03-25,,4,0.0
146,New Probable 2021-03-26,,4,0.0
