,Date,3,index,County
0,County Name,Anderson,,
1,New Probable 2020-11-01,0.0,,
2,New Probable 2020-11-02,0.0,,
3,New Probable 2020-11-03,6.0,,
4,New Probable 2020-11-04,0.0,,
5,New Probable 2020-11-05,17.0,,
6,New Probable 2020-11-06,24.0,,
7,New Probable 2020-11-07,0.0,,
8,New Probable 2020-11-08,1.0,,
9,New Probable 2020-11-09,0.0,,
10,New Probable 2020-11-10,11.0,,
11,New Probable 2020-11-11,9.0,,
12,New Probable 2020-11-12,14.0,,
13,New Probable 2020-11-13,8.0,,
14,New Probable 2020-11-14,0.0,,
15,New Probable 2020-11-15,9.0,,
16,New Probable 2020-11-16,0.0,,
17,New Probable 2020-11-17,31.0,,
18,New Probable 2020-11-18,11.0,,
19,New Probable 2020-11-19,22.0,,
20,New Probable 2020-11-20,10.0,,
21,New Probable 2020-11-21,4.0,,
22,New Probable 2020-11-22,0.0,,
23,New Probable 2020-11-23,0.0,,
24,New Probable 2020-11-24,4.0,,
25,New Probable 2020-11-25,9.0,,
26,New Probable 2020-11-26,9.0,,
27,New Probable 2020-11-27,0.0,,
28,New Probable 2020-11-28,0.0,,
29,New Probable 2020-11-29,0.0,,
30,New Probable 2020-11-30,0.0,,
31,New Probable 2020-12-01,18.0,,
32,New Probable 2020-12-02,5.0,,
33,New Probable 2020-12-03,16.0,,
34,New Probable 2020-12-04,33.0,,
35,New Probable 2020-12-05,15.0,,
36,New Probable 2020-12-06,0.0,,
37,New Probable 2020-12-07,0.0,,
38,New Probable 2020-12-08,15.0,,
39,New Probable 2020-12-09,7.0,,
40,New Probable 2020-12-10,14.0,,
41,New Probable 2020-12-11,10.0,,
42,New Probable 2020-12-12,15.0,,
43,New Probable 2020-12-13,0.0,,
44,New Probable 2020-12-14,0.0,,
45,New Probable 2020-12-15,16.0,,
46,New Probable 2020-12-16,3.0,,
47,New Probable 2020-12-17,5.0,,
48,New Probable 2020-12-18,7.0,,
49,New Probable 2020-12-19,9.0,,
50,New Probable 2020-12-20,0.0,,
51,New Probable 2020-12-21,0.0,,
52,New Probable 2020-12-22,21.0,,
53,New Probable 2020-12-23,7.0,,
54,New Probable 2020-12-24,12.0,,
55,New Probable 2020-12-25,0.0,,
56,New Probable 2020-12-26,0.0,,
57,New Probable 2020-12-27,0.0,,
58,New Probable 2020-12-28,0.0,,
59,New Probable 2020-12-29,42.0,,
60,New Probable 2020-12-30,10.0,,
61,New Probable 2020-12-31,23.0,,
62,New Probable 2021-01-01,19.0,,
63,New Probable 2021-01-02,0.0,,
64,New Probable 2021-01-03,0.0,,
65,New Probable 2021-01-04,0.0,,
66,New Probable 2021-01-05,46.0,,
67,New Probable 2021-01-06,17.0,,
68,New Probable 2021-01-07,21.0,,
69,New Probable 2021-01-08,0.0,,
70,New Probable 2021-01-09,28.0,,
71,New Probable 2021-01-10,0.0,,
72,New Probable 2021-01-11,0.0,,
73,New Probable 2021-01-12,0.0,,
74,New Probable 2021-01-13,46.0,,
75,New Probable 2021-01-14,0.0,,
76,New Probable 2021-01-15,29.0,,
77,New Probable 2021-01-16,0.0,,
78,New Probable 2021-01-17,13.0,,
79,New Probable 2021-01-18,0.0,,
80,New Probable 2021-01-19,0.0,,
81,New Probable 2021-01-20,50.0,,
82,New Probable 2021-01-21,4.0,,
83,New Probable 2021-01-22,0.0,,
84,New Probable 2021-01-23,10.0,,
85,New Probable 2021-01-24,9.0,,
86,New Probable 2021-01-25,0.0,,
87,New Probable 2021-01-26,0.0,,
88,New Probable 2021-01-27,14.0,,
89,New Probable 2021-01-28,6.0,,
90,New Probable 2021-01-29,13.0,,
91,New Probable 2021-01-30,0.0,,
92,New Probable 2021-01-31,3.0,,
93,New Probable 2021-02-01,0.0,,
94,New Probable 2021-02-02,0.0,,
95,New Probable 2021-02-03,5.0,,
96,New Probable 2021-02-04,0.0,,
97,New Probable 2021-02-05,25.0,,
98,New Probable 2021-02-06,0.0,,
99,New Probable 2021-02-07,0.0,,
100,New Probable 2021-02-08,18.0,,
101,New Probable 2021-02-09,4.0,,
102,New Probable 2021-02-10,0.0,,
103,New Probable 2021-02-11,0.0,,
104,New Probable 2021-02-12,8.0,,
105,New Probable 2021-02-13,0.0,,
106,New Probable 2021-02-14,4.0,,
107,New Probable 2021-02-15,0.0,,
108,New Probable 2021-02-16,0.0,,
109,New Probable 2021-02-17,0.0,,
110,New Probable 2021-02-18,0.0,,
111,New Probable 2021-02-19,3.0,,
112,New Probable 2021-02-20,0.0,,
113,New Probable 2021-02-21,1.0,,
114,New Probable 2021-02-22,0.0,,
115,New Probable 2021-02-23,0.0,,
116,New Probable 2021-02-24,1.0,,
117,New Probable 2021-02-25,0.0,,
118,New Probable 2021-02-26,4.0,,
119,New Probable 2021-02-27,5.0,,
120,New Probable 2021-02-28,0.0,,
121,New Probable 2021-03-01,0.0,,
122,New Probable 2021-03-02,0.0,,
123,New Probable 2021-03-03,11.0,,
124,New Probable 2021-03-04,0.0,,
125,New Probable 2021-03-05,6.0,,
126,New Probable 2021-03-06,0.0,,
127,New Probable 2021-03-07,0.0,,
128,New Probable 2021-03-08,0.0,,
129,New Probable 2021-03-09,-1.0,,
130,New Probable 2021-03-10,1.0,,
131,New Probable 2021-03-11,0.0,,
132,New Probable 2021-03-12,5.0,,
133,New Probable 2021-03-13,0.0,,
134,New Probable 2021-03-14,3.0,,
135,New Probable 2021-03-15,0.0,,
136,New Probable 2021-03-16,1.0,,
137,New Probable 2021-03-17,0.0,,
138,New Probable 2021-03-18,0.0,,
139,New Probable 2021-03-19,3.0,,
140,New Probable 2021-03-20,0.0,,
141,New Probable 2021-03-21,0.0,,
142,New Probable 2021-03-22,0.0,,
143,New Probable 2021-03-23,1.0,,
144,New Probable 2021-03-24,2.0,,
145,New Probable 2021-03-25,0.0,,
146,New Probable 2021-03-26,4.0,,
147,New Probable 2021-03-27,0.0,,
148,New Probable 2021-03-28,0.0,,
149,New Probable 2021-03-29,0.0,,
150,New Probable 2021-03-30,0.0,,
151,New Probable 2021-03-31,9.0,,
152,New Probable 2021-04-01,0.0,,
153,New Probable 2021-04-02,5.0,,
154,New Probable 2021-04-03,0.0,,
155,New Probable 2021-04-04,0.0,,
156,New Probable 2021-04-05,0.0,,
157,New Probable 2021-04-06,4.0,,
158,New Probable 2021-04-07,0.0,,
159,New Probable 2021-04-08,0.0,,
160,New Probable 2021-04-09,0.0,,
161,New Probable 2021-04-10,15.0,,
162,New Probable 2021-04-11,0.0,,
163,New Probable 2021-04-12,0.0,,
164,New Probable 2021-04-13,2.0,,
165,New Probable 2021-04-14,0.0,,
166,New Probable 2021-04-15,0.0,,
167,New Probable 2021-04-16,7.0,,
168,New Probable 2021-04-17,0.0,,
169,New Probable 2021-04-18,0.0,,
170,New Probable 2021-04-19,0.0,,
171,New Probable 2021-04-20,0.0,,
172,New Probable 2021-04-21,5.0,,
173,New Probable 2021-04-22,0.0,,
174,New Probable 2021-04-23,5.0,,
175,New Probable 2021-04-24,0.0,,
176,New Probable 2021-04-25,0.0,,
177,New Probable 2021-04-26,0.0,,
178,New Probable 2021-04-27,0.0,,
179,New Probable 2021-04-28,3.0,,
180,New Probable 2021-04-29,0.0,,
181,New Probable 2021-04-30,17.0,,
182,New Probable 2021-05-01,0.0,,
183,New Probable 2021-05-02,0.0,,
184,New Probable 2021-05-03,0.0,,
185,New Probable 2021-05-04,0.0,,
0,,Anderson,County Name,3.0
1,,0.0,New Probable 2020-11-01,3.0
2,,0.0,New Probable 2020-11-02,3.0
3,,6.0,New Probable 2020-11-03,3.0
4,,0.0,New Probable 2020-11-04,3.0
5,,17.0,New Probable 2020-11-05,3.0
6,,24.0,New Probable 2020-11-06,3.0
7,,0.0,New Probable 2020-11-07,3.0
8,,1.0,New Probable 2020-11-08,3.0
9,,0.0,New Probable 2020-11-09,3.0
10,,11.0,New Probable 2020-11-10,3.0
11,,9.0,New Probable 2020-11-11,3.0
12,,14.0,New Probable 2020-11-12,3.0
13,,8.0,New Probable 2020-11-13,3.0
14,,0.0,New Probable 2020-11-14,3.0
15,,9.0,New Probable 2020-11-15,3.0
16,,0.0,New Probable 2020-11-16,3.0
17,,31.0,New Probable 2020-11-17,3.0
18,,11.0,New Probable 2020-11-18,3.0
19,,22.0,New Probable 2020-11-19,3.0
20,,10.0,New Probable 2020-11-20,3.0
21,,4.0,New Probable 2020-11-21,3.0
22,,0.0,New Probable 2020-11-22,3.0
23,,0.0,New Probable 2020-11-23,3.0
24,,4.0,New Probable 2020-11-24,3.0
25,,9.0,New Probable 2020-11-25,3.0
26,,9.0,New Probable 2020-11-26,3.0
27,,0.0,New Probable 2020-11-27,3.0
28,,0.0,New Probable 2020-11-28,3.0
29,,0.0,New Probable 2020-11-29,3.0
30,,0.0,New Probable 2020-11-30,3.0
31,,18.0,New Probable 2020-12-01,3.0
32,,5.0,New Probable 2020-12-02,3.0
33,,16.0,New Probable 2020-12-03,3.0
34,,33.0,New Probable 2020-12-04,3.0
35,,15.0,New Probable 2020-12-05,3.0
36,,0.0,New Probable 2020-12-06,3.0
37,,0.0,New Probable 2020-12-07,3.0
38,,15.0,New Probable 2020-12-08,3.0
39,,7.0,New Probable 2020-12-09,3.0
40,,14.0,New Probable 2020-12-10,3.0
41,,10.0,New Probable 2020-12-11,3.0
42,,15.0,New Probable 2020-12-12,3.0
43,,0.0,New Probable 2020-12-13,3.0
44,,0.0,New Probable 2020-12-14,3.0
45,,16.0,New Probable 2020-12-15,3.0
46,,3.0,New Probable 2020-12-16,3.0
47,,5.0,New Probable 2020-12-17,3.0
48,,7.0,New Probable 2020-12-18,3.0
49,,9.0,New Probable 2020-12-19,3.0
50,,0.0,New Probable 2020-12-20,3.0
51,,0.0,New Probable 2020-12-21,3.0
52,,21.0,New Probable 2020-12-22,3.0
53,,7.0,New Probable 2020-12-23,3.0
54,,12.0,New Probable 2020-12-24,3.0
55,,0.0,New Probable 2020-12-25,3.0
56,,0.0,New Probable 2020-12-26,3.0
57,,0.0,New Probable 2020-12-27,3.0
58,,0.0,New Probable 2020-12-28,3.0
59,,42.0,New Probable 2020-12-29,3.0
60,,10.0,New Probable 2020-12-30,3.0
61,,23.0,New Probable 2020-12-31,3.0
62,,19.0,New Probable 2021-01-01,3.0
63,,0.0,New Probable 2021-01-02,3.0
64,,0.0,New Probable 2021-01-03,3.0
65,,0.0,New Probable 2021-01-04,3.0
66,,46.0,New Probable 2021-01-05,3.0
67,,17.0,New Probable 2021-01-06,3.0
68,,21.0,New Probable 2021-01-07,3.0
69,,0.0,New Probable 2021-01-08,3.0
70,,28.0,New Probable 2021-01-09,3.0
71,,0.0,New Probable 2021-01-10,3.0
72,,0.0,New Probable 2021-01-11,3.0
